   0.0000000e+00  -2.0000000e-01   1.0000000e-01
   0.0000000e+00  -1.8750000e-01   8.4027778e-02
   0.0000000e+00  -1.7500000e-01   6.9444444e-02
   0.0000000e+00  -1.6250000e-01   5.6250000e-02
   0.0000000e+00  -1.5000000e-01   4.4444444e-02
   0.0000000e+00  -1.3750000e-01   3.4027778e-02
   0.0000000e+00  -1.2500000e-01   2.5000000e-02
   0.0000000e+00  -1.1250000e-01   1.7361111e-02
   0.0000000e+00  -1.0000000e-01   1.1111111e-02
   0.0000000e+00  -8.7500000e-02   6.2500000e-03
   0.0000000e+00  -7.5000000e-02   2.7777778e-03
   0.0000000e+00  -6.2500000e-02   6.9444444e-04
   0.0000000e+00  -5.0000000e-02   1.9259299e-33
   0.0000000e+00  -3.7500000e-02   6.9444444e-04
   0.0000000e+00  -2.5000000e-02   2.7777778e-03
   0.0000000e+00  -1.2500000e-02   6.2500000e-03
   0.0000000e+00   2.7755576e-17   1.1111111e-02
   0.0000000e+00   1.2500000e-02   1.7361111e-02
   0.0000000e+00   2.5000000e-02   2.5000000e-02
   0.0000000e+00   3.7500000e-02   3.4027778e-02
   0.0000000e+00   5.0000000e-02   4.4444444e-02
   0.0000000e+00   6.2500000e-02   5.6250000e-02
   0.0000000e+00   7.5000000e-02   6.9444444e-02
   0.0000000e+00   8.7500000e-02   8.4027778e-02
   0.0000000e+00   1.0000000e-01   1.0000000e-01
   8.3333333e-03  -2.0000000e-01   1.0408750e-01
   8.3333333e-03  -1.8750000e-01   8.8115278e-02
   8.3333333e-03  -1.7500000e-01   7.3531944e-02
   8.3333333e-03  -1.6250000e-01   6.0337500e-02
   8.3333333e-03  -1.5000000e-01   4.8531944e-02
   8.3333333e-03  -1.3750000e-01   3.8115278e-02
   8.3333333e-03  -1.2500000e-01   2.9087500e-02
   8.3333333e-03  -1.1250000e-01   2.1448611e-02
   8.3333333e-03  -1.0000000e-01   1.5198611e-02
   8.3333333e-03  -8.7500000e-02   1.0337500e-02
   8.3333333e-03  -7.5000000e-02   6.8652778e-03
   8.3333333e-03  -6.2500000e-02   4.7819444e-03
   8.3333333e-03  -5.0000000e-02   4.0875000e-03
   8.3333333e-03  -3.7500000e-02   4.7819444e-03
   8.3333333e-03  -2.5000000e-02   6.8652778e-03
   8.3333333e-03  -1.2500000e-02   1.0337500e-02
   8.3333333e-03   2.7755576e-17   1.5198611e-02
   8.3333333e-03   1.2500000e-02   2.1448611e-02
   8.3333333e-03   2.5000000e-02   2.9087500e-02
   8.3333333e-03   3.7500000e-02   3.8115278e-02
   8.3333333e-03   5.0000000e-02   4.8531944e-02
   8.3333333e-03   6.2500000e-02   6.0337500e-02
   8.3333333e-03   7.5000000e-02   7.3531944e-02
   8.3333333e-03   8.7500000e-02   8.8115278e-02
   8.3333333e-03   1.0000000e-01   1.0408750e-01
   1.6666667e-02  -2.0000000e-01   1.0817500e-01
   1.6666667e-02  -1.8750000e-01   9.2202778e-02
   1.6666667e-02  -1.7500000e-01   7.7619444e-02
   1.6666667e-02  -1.6250000e-01   6.4425000e-02
   1.6666667e-02  -1.5000000e-01   5.2619444e-02
   1.6666667e-02  -1.3750000e-01   4.2202778e-02
   1.6666667e-02  -1.2500000e-01   3.3175000e-02
   1.6666667e-02  -1.1250000e-01   2.5536111e-02
   1.6666667e-02  -1.0000000e-01   1.9286111e-02
   1.6666667e-02  -8.7500000e-02   1.4425000e-02
   1.6666667e-02  -7.5000000e-02   1.0952778e-02
   1.6666667e-02  -6.2500000e-02   8.8694444e-03
   1.6666667e-02  -5.0000000e-02   8.1750000e-03
   1.6666667e-02  -3.7500000e-02   8.8694444e-03
